game_id,user_id,rating
3498,user_4971,4
3498,user_957,3
3498,user_2078,2
3498,user_7147,2
3498,user_8630,5
3498,user_8136,4
3498,user_4273,4
3498,user_6882,2
3498,user_8426,2
3498,user_1437,5
3498,user_5515,1
3498,user_8875,5
3498,user_5785,2
3498,user_178,3
3498,user_380,4
3498,user_8257,4
3498,user_7001,1
3498,user_7847,5
3498,user_9144,5
3498,user_1780,1
3498,user_5171,3
3498,user_7017,3
3498,user_1493,4
3498,user_7285,5
3498,user_8362,5
3498,user_1802,3
3498,user_2936,4
3498,user_2883,2
3498,user_4696,3
3498,user_4482,5
3498,user_6034,4
3498,user_4074,4
3498,user_4932,2
3498,user_7323,4
3498,user_1111,4
3498,user_8937,4
3498,user_2079,4
3498,user_1551,2
3498,user_8598,1
3498,user_9891,2
3498,user_9708,3
3498,user_6595,4
3498,user_2798,1
3498,user_7282,4
3498,user_3310,3
3498,user_5047,5
3498,user_3725,1
3498,user_8480,4
3498,user_6360,2
3498,user_4779,2
3498,user_5740,3
3498,user_8989,3
3498,user_4138,4
3498,user_2650,3
3498,user_2973,5
3498,user_7687,4
3498,user_2569,4
3498,user_526,3
3498,user_9951,2
3498,user_8228,5
3498,user_5341,5
3498,user_1347,2
3498,user_2855,4
3498,user_6325,1
3498,user_8502,1
3498,user_6991,3
3498,user_6746,3
3498,user_4983,1
3498,user_6095,2
3498,user_8208,3
3498,user_3569,5
3498,user_8470,2
3498,user_3033,2
3498,user_4357,4
3498,user_8969,5
3498,user_3019,4
3498,user_3788,5
3498,user_3996,1
3498,user_4387,3
3498,user_5466,1
3498,user_1781,1
3498,user_7265,2
3498,user_5675,3
3498,user_8625,5
3498,user_9892,3
3498,user_348,4
3498,user_2031,4
3498,user_1161,5
3498,user_6303,3
3498,user_9388,4
3498,user_8435,1
3498,user_2554,1
3498,user_3102,5
3498,user_4760,1
3498,user_4329,5
3498,user_3179,1
3498,user_1921,5
3498,user_4974,1
3498,user_6183,5
3328,user_9979,1
3328,user_2669,3
3328,user_9103,5
3328,user_5084,5
3328,user_3383,3
3328,user_6255,1
3328,user_7516,4
3328,user_2051,1
3328,user_2792,1
3328,user_7772,4
3328,user_6835,3
3328,user_7596,3
3328,user_593,2
3328,user_5703,4
3328,user_1481,3
3328,user_3653,2
